ID,Page,Section heading,Category,Theorem level,Finding type,Severity,First-principles resolution,Probe machine-check status,Inscribed location,Physical insight
1320,241,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.2 Quantization as a brane trace-map test,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1321,242,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.2 Quantization as a brane trace-map test,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1322,242,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.2 Quantization as a brane trace-map test,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1323,243,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.2 Quantization as a brane trace-map test,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1324,243,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.2 Quantization as a brane trace-map test,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1325,244,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1326,244,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1327,245,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1328,245,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1329,246,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1330,246,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1331,247,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1332,247,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1333,248,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1334,248,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1335,249,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1336,249,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1337,250,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1338,250,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1339,251,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1340,251,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.3 Graph formalism and specialization datum,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1341,252,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1342,252,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1343,253,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1344,253,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1345,254,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1346,254,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1347,255,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1348,255,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
