ID,Page,Section heading,Category,Theorem level,Finding type,Severity,Status,Verification reference,Notes,Surrounding text quote (truncated),Issue / improvement,Strongest upgrade construction,Verification / consistency probe
1616,413,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"Φℏ(𝑧1), Φℏ(𝑧2)]★= ℏ𝑁 mod W𝑁b𝜇(𝔰𝔩𝑁), 𝑊sc,ord 1 = ℏ𝑁[ ¯𝑐] in cohomology, i.e. the Capelli shift makes the scalar commutator equal ℏ𝑁times the identity, modulo the Hamil- tonian moment-map ideal of 𝔰𝔩𝑁. The associated CE cl","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1617,414,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"ailable here. Theorem E.15 (Central-character source replacement for the scalar QME symbol). Let 𝐴= ℂ[𝑧1, 𝑧2] and let ¯𝑓denote the image of 𝑓in ¯𝐴= 𝐴/ℂ· 1 for the local Hamiltonian algebra of Proposi- tion E.2. Define th",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1618,414,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"ailable here. Theorem E.15 (Central-character source replacement for the scalar QME symbol). Let 𝐴= ℂ[𝑧1, 𝑧2] and let ¯𝑓denote the image of 𝑓in ¯𝐴= 𝐴/ℂ· 1 for the local Hamiltonian algebra of Proposi- tion E.2. Define th","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1619,415,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 413 Thus the local scalar QME symbol is absorbed after replacing the scalar-reduced source by the unreduced source with central character 𝜒𝑁. This is ",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1620,415,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 413 Thus the local scalar QME symbol is absorbed after replacing the scalar-reduced source by the unreduced source with central character 𝜒𝑁. This is ","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1621,416,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,414 Contents Proof. The scalarterm in the classical boundary bracket is the contraction of the identity endomorphism in the trace pairing. For an ordinary 𝑁-dimensional vector space this contraction is 𝑁. For a super vec,Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1622,416,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,414 Contents Proof. The scalarterm in the classical boundary bracket is the contraction of the identity endomorphism in the trace pairing. For an ordinary 𝑁-dimensional vector space this contraction is 𝑁. For a super vec,"Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1623,417,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 415 Therefore 𝜎bal,sc = sdim(𝑉)𝜏sc = 0 on the associated graded. Take the zero filtered lift to the stated scalar CE target. Since both composites 𝑑CE",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1624,417,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 415 Therefore 𝜎bal,sc = sdim(𝑉)𝜏sc = 0 on the associated graded. Take the zero filtered lift to the stated scalar CE target. Since both composites 𝑑CE","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1625,418,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"ero on ℌ• bal,sc(𝐼) by Proposition E.18. The same factorization after applying 𝑑QME says that the differential creates scalar-contact symbols only in the identity-loop class. Therefore 𝑑CEb𝜎bal,Cost −b𝜎bal,Cost𝑑QME = 0. ",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1626,418,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"ero on ℌ• bal,sc(𝐼) by Proposition E.18. The same factorization after applying 𝑑QME says that the differential creates scalar-contact symbols only in the identity-loop class. Therefore 𝑑CEb𝜎bal,Cost −b𝜎bal,Cost𝑑QME = 0. ","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1627,419,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 417 with the signs 𝜀Γ,Γ′ determined by the graph orientation, BV bracket, and counterterm convention, then the obstruction cocycle is computed by 𝔬(𝑟)",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1628,419,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 417 with the signs 𝜀Γ,Γ′ determined by the graph orientation, BV bracket, and counterterm convention, then the obstruction cocycle is computed by 𝔬(𝑟)","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1629,420,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"e has supertrace 1, giving the displayed nonzero symbol. The scalar contact has BV degree 0; multiplication by 𝛾1, of degree 1, puts the representative in the degree-one QME obstruction complex. The cocycle 𝜔is the same ",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1630,420,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"e has supertrace 1, giving the displayed nonzero symbol. The scalar contact has BV degree 0; multiplication by 𝛾1, of degree 1, puts the representative in the degree-one QME obstruction complex. The cocycle 𝜔is the same ","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1631,421,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 419 Fix a complete 𝑑QME-stable finite-window graph/counterterm enlargement of the local balanced supertrace brane-defect complex. The supertraceless-m",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1632,421,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 419 Fix a complete 𝑑QME-stable finite-window graph/counterterm enlargement of the local balanced supertrace brane-defect complex. The supertraceless-m","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1633,422,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"word ∅, so its coefficient is Str(id𝑉) = 0. The differential 𝑄+ {𝐼0, −} acts on BV fields and takes brackets with the unmarked classical interaction; it preserves the empty marker word on an open scalar loop. Thus the im",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1634,422,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"word ∅, so its coefficient is Str(id𝑉) = 0. The differential 𝑄+ {𝐼0, −} acts on BV fields and takes brackets with the unmarked classical interaction; it preserves the empty marker word on an open scalar loop. Thus the im","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1635,423,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 421 Then the first preservation obstruction is B(𝑟) st=0(𝑋Γ,𝑀) = "" ∑︁ Γ′,𝜆 𝜀Γ,Γ′,𝜆𝑋Γ′ 𝔪Γ,Γ′,𝜆,𝑀 # st≠0, 𝐹𝑝−𝑟/𝐹𝑝−𝑟+1 , and its two-Hamiltonian-input sc",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1636,423,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 421 Then the first preservation obstruction is B(𝑟) st=0(𝑋Γ,𝑀) = "" ∑︁ Γ′,𝜆 𝜀Γ,Γ′,𝜆𝑋Γ′ 𝔪Γ,Γ′,𝜆,𝑀 # st≠0, 𝐹𝑝−𝑟/𝐹𝑝−𝑟+1 , and its two-Hamiltonian-input sc","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1637,424,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"s are the finite-scale local propagator 𝑃𝑤,𝑀 𝜖,𝐿, the corresponding regularized BV contraction Δ𝑤,𝑀 𝜖,𝐿, and the boundary Weyl edge whose scalar part on two Hamiltonians is the formal- local scalar cocycle of Proposition",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1638,424,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"s are the finite-scale local propagator 𝑃𝑤,𝑀 𝜖,𝐿, the corresponding regularized BV contraction Δ𝑤,𝑀 𝜖,𝐿, and the boundary Weyl edge whose scalar part on two Hamiltonians is the formal- local scalar cocycle of Proposition","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1639,425,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 423 then (𝑆, 𝛼) collapses 𝑆to one boundary vertex labelled ℓ𝑆,𝛼. For the two-Hamiltonian scalar contact this convention gives Collsc((𝑎, 𝑓), (𝑏, 𝑔)) =",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1640,425,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 423 then (𝑆, 𝛼) collapses 𝑆to one boundary vertex labelled ℓ𝑆,𝛼. For the two-Hamiltonian scalar contact this convention gives Collsc((𝑎, 𝑓), (𝑏, 𝑔)) =","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1641,426,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"or in a finite window 𝑀is a tuple 𝑋Γ,𝑜,𝔪,𝑀, whereΓ ∈Gmk 𝑀forafinite-windowmarkedCostellolistofDefinitionE.27,𝑜isanorientationofthefinite set B𝑀(Γ), and 𝔪= (𝔪𝐿)𝐿assigns to each marked scalar open index loop 𝐿a tensor 𝔪𝐿∈M",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1642,426,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"or in a finite window 𝑀is a tuple 𝑋Γ,𝑜,𝔪,𝑀, whereΓ ∈Gmk 𝑀forafinite-windowmarkedCostellolistofDefinitionE.27,𝑜isanorientationofthefinite set B𝑀(Γ), and 𝔪= (𝔪𝐿)𝐿assigns to each marked scalar open index loop 𝐿a tensor 𝔪𝐿∈M","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1643,427,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 425 Proposition E.30 (Finite-window marked-complex compatibility). Let (𝐼, 𝑤, 𝑀, G𝑀) be a finite-window graph/QME system for the local mixed HT brane-",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1644,427,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"E. Unreduced BV cotangent, scalar QME obstructions, and cancellations 425 Proposition E.30 (Finite-window marked-complex compatibility). Let (𝐼, 𝑤, 𝑀, G𝑀) be a finite-window graph/QME system for the local mixed HT brane-","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
1645,428,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Monotonicity spine,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202): the conservative forgetful chain U_target ∘ Stalk_b ∘ H_Q ∘ gr_{ℏ,F} ∘ U_B",5 named forgetful functors; each is conservative on its strictness witness,"b𝜎−b𝜎𝑑mk = 0. Proposition E.30 identifies 𝑑mk with the restricted finite-window QME differential on the chosen finite table. Hence this is the required filtered chain projection, and Lemma E.4 kills the scalar projection",Add a named forgetful functor to the theorem package so every stronger theorem implies its weaker shadow.,Insert as a one-sentence theorem-package invariant or audit check at this location.,"Check U_{i+1,i}(A_bulk, A_partial, Phi, H)=(lower theorem data)."
1646,428,"Contents > E Unreduced BV cotangent, scalar QME obstructions, and cancellations",Cross-level infrastructure,T_spine,Strictness witness,High,verified,"Prop \ref{prop:monotone-strength-tower} (main.tex:8202) names: Capelli projective curvature ℏN[c̄]; pro-Matlis residue tower P^Π_q; diagonal local-cohomology kernel K^(2)_Δ; Hochschild centrality homotopy hierarchy {h_{α,a},h_{α,a,b},...}; all-loop QME counterterm tower {C_{n,M}}",Five named strictness witnesses; each is the datum killed by the corresponding forgetful functor,"b𝜎−b𝜎𝑑mk = 0. Proposition E.30 identifies 𝑑mk with the restricted finite-window QME differential on the chosen finite table. Hence this is the required filtered chain projection, and Lemma E.4 kills the scalar projection","Exhibit the datum killed by the forgetful functor: Capelli scalar, pro-Matlis kernel, centrality homotopy, QME counterterm, or global obstruction.",Insert as a one-sentence theorem-package invariant or audit check at this location.,Check the witness is nonzero upstairs and zero downstairs.
